codepoints,emoji-name,keywords
🤥,face | lie | lying face | pinocchio,lying face
🤫,quiet | shush | shushing face,shushing face
🤭,face with hand over mouth | whoops,face with hand over mouth
🧐,face with monocle | stuffy,face with monocle
🤓,face | geek | nerd,nerd face
😈,face | fairy tale | fantasy | horns | smile | smiling face with horns,smiling face with horns
👿,angry face with horns | demon | devil | face | fairy tale | fantasy | imp,angry face with horns
👹,creature | face | fairy tale | fantasy | monster | ogre,ogre
👺,creature | face | fairy tale | fantasy | goblin | monster,goblin
💀,death | face | fairy tale | monster | skull,skull
☠,crossbones | death | face | monster | skull | skull and crossbones,skull and crossbones
👻,creature | face | fairy tale | fantasy | ghost | monster,ghost
👽,alien | creature | extraterrestrial | face | fairy tale | fantasy | monster | ufo,alien
👾,alien | creature | extraterrestrial | face | fairy tale | fantasy | monster | ufo,alien monster
🤖,face | monster | robot,robot face
💩,comic | dung | face | monster | pile of poo | poo | poop,pile of poo
😺,cat | face | grinning cat face | mouth | open | smile,grinning cat face
😸,cat | eye | face | grin | grinning cat face with smiling eyes | smile,grinning cat face with smiling eyes
😹,cat | cat face with tears of joy | face | joy | tear,cat face with tears of joy
😻,cat | eye | face | love | smile | smiling cat face with heart-eyes,smiling cat face with heart-eyes
😼,cat | cat face with wry smile | face | ironic | smile | wry,cat face with wry smile
😽,cat | eye | face | kiss | kissing cat face,kissing cat face
🙀,cat | face | oh | surprised | weary,weary cat face
😿,cat | cry | crying cat face | face | sad | tear,crying cat face
😾,cat | face | pouting,pouting cat face
🙈,evil | face | forbidden | gesture | monkey | no | not | prohibited | see | see-no-evil monkey,see-no-evil monkey
🙉,evil | face | forbidden | gesture | hear | hear-no-evil monkey | monkey | no | not | prohibited,hear-no-evil monkey
🙊,evil | face | forbidden | gesture | monkey | no | not | prohibited | speak | speak-no-evil monkey,speak-no-evil monkey
👶,baby | young,baby
🧒,child | gender-neutral | young,child
👦,boy | young,boy
👧,girl | Virgo | young | zodiac,girl
🧑,adult | gender-neutral,adult
👨,man,man
👩,woman,woman
🧓,gender-neutral | old | older adult,older adult
👴,man | old,old man
👵,old | woman,old woman
👨‍⚕,doctor | healthcare | man | man health worker | nurse | therapist,man health worker
👩‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker,woman health worker
👨‍🎓,graduate | man | student,man student
👩‍🎓,graduate | student | woman,woman student
👨‍🏫,instructor | man | professor | teacher,man teacher
👩‍🏫,instructor | professor | teacher | woman,woman teacher
👨‍⚖,justice | man | man judge | scales,man judge
👩‍⚖,judge | scales | woman,woman judge
👨‍🌾,farmer | gardener | man | rancher,man farmer
👩‍🌾,farmer | gardener | rancher | woman,woman farmer
👨‍🍳,chef | cook | man,man cook
👩‍🍳,chef | cook | woman,woman cook
👨‍🔧,electrician | man | mechanic | plumber | tradesperson,man mechanic
👩‍🔧,electrician | mechanic | plumber | tradesperson | woman,woman mechanic
👨‍🏭,assembly | factory | industrial | man | worker,man factory worker
👩‍🏭,assembly | factory | industrial | woman | worker,woman factory worker
👨‍💼,architect | business | man | man office worker | manager | office | white-collar,man office worker
👩‍💼,architect | business | manager | office | white-collar | woman | woman office worker,woman office worker
👨‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist,man scientist
👩‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman,woman scientist
👨‍💻,coder | developer | inventor | man | software | technologist,man technologist
👩‍💻,coder | developer | inventor | software | technologist | woman,woman technologist
👨‍🎤,actor | entertainer | man | rock | singer | star,man singer
👩‍🎤,actor | entertainer | rock | singer | star | woman,woman singer
👨‍🎨,artist | man | palette,man artist
👩‍🎨,artist | palette | woman,woman artist
👨‍✈,man | pilot | plane,man pilot
👩‍✈,pilot | plane | woman,woman pilot
👨‍🚀,astronaut | man | rocket,man astronaut
👩‍🚀,astronaut | rocket | woman,woman astronaut
👨‍🚒,firefighter | firetruck | man,man firefighter
👩‍🚒,firefighter | firetruck | woman,woman firefighter
👮,cop | officer | police,police officer
👮‍♂,cop | man | officer | police,man police officer
👮‍♀,cop | officer | police | woman,woman police officer
🕵,detective | sleuth | spy,detective
🕵‍♂,detective | man | sleuth | spy,man detective
🕵‍♀,detective | sleuth | spy | woman,woman detective
💂,guard,guard
💂‍♂,guard | man,man guard
💂‍♀,guard | woman,woman guard
👷,construction | hat | worker,construction worker
👷‍♂,construction | man | worker,man construction worker
👷‍♀,construction | woman | worker,woman construction worker
🤴,prince,prince
👸,fairy tale | fantasy | princess,princess
👳,person wearing turban | turban,person wearing turban
👳‍♂,man | man wearing turban | turban,man wearing turban
👳‍♀,turban | woman | woman wearing turban,woman wearing turban
👲,gua pi mao | hat | man | man with Chinese cap,man with Chinese cap
🧕,headscarf | hijab | mantilla | tichel | woman with headscarf,woman with headscarf
🧔,beard | bearded person,bearded person
👱,blond | blond-haired person,blond-haired person
👱‍♂,blond | blond-haired man | man,blond-haired man
👱‍♀,blond-haired woman | blonde | woman,blond-haired woman
🤵,groom | man | man in tuxedo | tuxedo,man in tuxedo
👰,bride | bride with veil | veil | wedding,bride with veil
🤰,pregnant | woman,pregnant woman
🤱,baby | breast | breast-feeding | nursing,breast-feeding
👼,angel | baby | face | fairy tale | fantasy,baby angel
🎅,celebration | Christmas | claus | father | santa | Santa Claus,Santa Claus
🤶,celebration | Christmas | claus | mother | Mrs. | Mrs. Claus,Mrs. Claus
🧙,mage | sorcerer | sorceress | witch | wizard,mage
🧙‍♀,sorceress | witch | woman mage,woman mage
🧙‍♂,man mage | sorcerer | wizard,man mage
🧚,fairy | Oberon | Puck | Titania,fairy
🧚‍♀,Titania | woman fairy,woman fairy
🧚‍♂,man fairy | Oberon | Puck,man fairy
🧛,Dracula | undead | vampire,vampire
🧛‍♀,undead | woman vampire,woman vampire
🧛‍♂,Dracula | man vampire | undead,man vampire
🧜,mermaid | merman | merperson | merwoman,merperson
🧜‍♀,mermaid | merwoman,mermaid
🧜‍♂,merman | Triton,merman
🧝,elf | magical,elf
🧝‍♀,magical | woman elf,woman elf
🧝‍♂,magical | man elf,man elf
🧞,djinn | genie,genie
🧞‍♀,djinn | woman genie,woman genie
🧞‍♂,djinn | man genie,man genie
🧟,undead | walking dead | zombie,zombie
🧟‍♀,undead | walking dead | woman zombie,woman zombie
🧟‍♂,man zombie | undead | walking dead,man zombie
🙍,frown | gesture | person frowning,person frowning
🙍‍♂,frowning | gesture | man,man frowning
🙍‍♀,frowning | gesture | woman,woman frowning
🙎,gesture | person pouting | pouting,person pouting
🙎‍♂,gesture | man | pouting,man pouting
🙎‍♀,gesture | pouting | woman,woman pouting
🙅,forbidden | gesture | hand | no | not | person gesturing NO | prohibited,person gesturing NO
🙅‍♂,forbidden | gesture | hand | man | man gesturing NO | no | prohibited,man gesturing NO
🙅‍♀,forbidden | gesture | hand | no | prohibited | woman | woman gesturing NO,woman gesturing NO
🙆,gesture | hand | OK | person gesturing OK,person gesturing OK
🙆‍♂,gesture | hand | man | man gesturing OK | OK,man gesturing OK
🙆‍♀,gesture | hand | OK | woman | woman gesturing OK,woman gesturing OK
💁,hand | help | information | person tipping hand | sassy | tipping,person tipping hand
💁‍♂,man | man tipping hand | sassy | tipping hand,man tipping hand
💁‍♀,sassy | tipping hand | woman | woman tipping hand,woman tipping hand
🙋,gesture | hand | happy | person raising hand | raised,person raising hand
🙋‍♂,gesture | man | man raising hand | raising hand,man raising hand
🙋‍♀,gesture | raising hand | woman | woman raising hand,woman raising hand
🙇,apology | bow | gesture | person bowing | sorry,person bowing
🙇‍♂,apology | bowing | favor | gesture | man | sorry,man bowing
🙇‍♀,apology | bowing | favor | gesture | sorry | woman,woman bowing
🤦,disbelief | exasperation | face | palm | person facepalming,person facepalming
🤦‍♂,disbelief | exasperation | facepalm | man | man facepalming,man facepalming
🤦‍♀,disbelief | exasperation | facepalm | woman | woman facepalming,woman facepalming
🤷,doubt | ignorance | indifference | person shrugging | shrug,person shrugging
🤷‍♂,doubt | ignorance | indifference | man | man shrugging | shrug,man shrugging
🤷‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging,woman shrugging
💆,face | massage | person getting massage | salon,person getting massage
💆‍♂,face | man | man getting massage | massage,man getting massage
💆‍♀,face | massage | woman | woman getting massage,woman getting massage
💇,barber | beauty | haircut | parlor | person getting haircut,person getting haircut
💇‍♂,haircut | man | man getting haircut,man getting haircut
💇‍♀,haircut | woman | woman getting haircut,woman getting haircut
🚶,hike | person walking | walk | walking,person walking
🚶‍♂,hike | man | man walking | walk,man walking
🚶‍♀,hike | walk | woman | woman walking,woman walking
🏃,marathon | person running | running,person running
🏃‍♂,man | marathon | racing | running,man running
🏃‍♀,marathon | racing | running | woman,woman running
💃,dancing | woman,woman dancing
🕺,dance | man | man dancing,man dancing
👯,bunny ear | dancer | partying | people with bunny ears,people with bunny ears
👯‍♂,bunny ear | dancer | men | men with bunny ears | partying,men with bunny ears
👯‍♀,bunny ear | dancer | partying | women | women with bunny ears,women with bunny ears
🧖,person in steamy room | sauna | steam room,person in steamy room
🧖‍♀,sauna | steam room | woman in steamy room,woman in steamy room
🧖‍♂,man in steamy room | sauna | steam room,man in steamy room
🧗,climber | person climbing,person climbing
🧗‍♀,climber | woman climbing,woman climbing
🧗‍♂,climber | man climbing,man climbing
🧘,meditation | person in lotus position | yoga,person in lotus position
🧘‍♀,meditation | woman in lotus position | yoga,woman in lotus position
🧘‍♂,man in lotus position | meditation | yoga,man in lotus position
🛀,bath | bathtub | person taking bath,person taking bath
🛌,hotel | person in bed | sleep,person in bed
🕴,business | man | man in suit levitating | suit,man in suit levitating
🗣,face | head | silhouette | speak | speaking,speaking head
👤,bust | bust in silhouette | silhouette,bust in silhouette
👥,bust | busts in silhouette | silhouette,busts in silhouette
🤺,fencer | fencing | person fencing | sword,person fencing
🏇,horse | jockey | racehorse | racing,horse racing
⛷,ski | skier | snow,skier
🏂,ski | snow | snowboard | snowboarder,snowboarder
🏌,ball | golf | person golfing,person golfing
🏌‍♂,golf | man | man golfing,man golfing
🏌‍♀,golf | woman | woman golfing,woman golfing
🏄,person surfing | surfing,person surfing
🏄‍♂,man | surfing,man surfing
🏄‍♀,surfing | woman,woman surfing
🚣,boat | person rowing boat | rowboat,person rowing boat
🚣‍♂,boat | man | man rowing boat | rowboat,man rowing boat
🚣‍♀,boat | rowboat | woman | woman rowing boat,woman rowing boat
🏊,person swimming | swim,person swimming
🏊‍♂,man | man swimming | swim,man swimming
🏊‍♀,swim | woman | woman swimming,woman swimming
⛹,ball | person bouncing ball,person bouncing ball
⛹‍♂,ball | man | man bouncing ball,man bouncing ball
⛹‍♀,ball | woman | woman bouncing ball,woman bouncing ball
🏋,lifter | person lifting weights | weight,person lifting weights
🏋‍♂,man | man lifting weights | weight lifter,man lifting weights
🏋‍♀,weight lifter | woman | woman lifting weights,woman lifting weights
🚴,bicycle | biking | cyclist | person biking,person biking
🚴‍♂,bicycle | biking | cyclist | man,man biking
🚴‍♀,bicycle | biking | cyclist | woman,woman biking
🚵,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking,person mountain biking
🚵‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain,man mountain biking
🚵‍♀,bicycle | bike | biking | cyclist | mountain | woman,woman mountain biking
🏎,car | racing,racing car
🏍,motorcycle | racing,motorcycle
🤸,cartwheel | gymnastics | person cartwheeling,person cartwheeling
🤸‍♂,cartwheel | gymnastics | man | man cartwheeling,man cartwheeling
🤸‍♀,cartwheel | gymnastics | woman | woman cartwheeling,woman cartwheeling
🤼,people wrestling | wrestle | wrestler,people wrestling
🤼‍♂,men | men wrestling | wrestle,men wrestling
🤼‍♀,women | women wrestling | wrestle,women wrestling
🤽,person playing water polo | polo | water,person playing water polo
🤽‍♂,man | man playing water polo | water polo,man playing water polo
🤽‍♀,water polo | woman | woman playing water polo,woman playing water polo
🤾,ball | handball | person playing handball,person playing handball
🤾‍♂,handball | man | man playing handball,man playing handball
🤾‍♀,handball | woman | woman playing handball,woman playing handball
🤹,balance | juggle | multitask | person juggling | skill,person juggling
🤹‍♂,juggling | man | multitask,man juggling
🤹‍♀,juggling | multitask | woman,woman juggling
👫,couple | hand | hold | man | man and woman holding hands | woman,man and woman holding hands
👬,couple | Gemini | hand | hold | man | twins | two men holding hands | zodiac,two men holding hands
👭,couple | hand | hold | two women holding hands | woman,two women holding hands
💏,couple | kiss,kiss
💑,couple | couple with heart | love,couple with heart
👪,family,family
🤳,camera | phone | selfie,selfie
💪,biceps | comic | flex | flexed biceps | muscle,flexed biceps
👈,backhand | backhand index pointing left | finger | hand | index | point,backhand index pointing left
👉,backhand | backhand index pointing right | finger | hand | index | point,backhand index pointing right
☝,finger | hand | index | index pointing up | point | up,index pointing up
👆,backhand | backhand index pointing up | finger | hand | index | point | up,backhand index pointing up
🖕,finger | hand | middle finger,middle finger
👇,backhand | backhand index pointing down | down | finger | hand | index | point,backhand index pointing down
✌,hand | v | victory,victory hand
🤞,cross | crossed fingers | finger | hand | luck,crossed fingers
🖖,finger | hand | spock | vulcan | vulcan salute,vulcan salute
🤘,finger | hand | horns | rock-on | sign of the horns,sign of the horns
🤙,call | call me hand | hand,call me hand
🖐,finger | hand | hand with fingers splayed | splayed,hand with fingers splayed
✋,hand | raised hand,raised hand
👌,hand | OK,OK hand
👍,+1 | hand | thumb | thumbs up | up,thumbs up
👎,-1 | down | hand | thumb | thumbs down,thumbs down
✊,clenched | fist | hand | punch | raised fist,raised fist
👊,clenched | fist | hand | oncoming fist | punch,oncoming fist
🤛,fist | left-facing fist | leftwards,left-facing fist
🤜,fist | right-facing fist | rightwards,right-facing fist
🤚,backhand | raised | raised back of hand,raised back of hand
👋,hand | wave | waving,waving hand
🤟,hand | ILY | love-you gesture,love-you gesture
✍,hand | write | writing hand,writing hand
👏,clap | clapping hands | hand,clapping hands
👐,hand | open | open hands,open hands
🙌,celebration | gesture | hand | hooray | raised | raising hands,raising hands
🤲,palms up together | prayer,palms up together
🙏,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks,folded hands
🤝,agreement | hand | handshake | meeting | shake,handshake
💅,care | cosmetics | manicure | nail | polish,nail polish
👂,body | ear,ear
👃,body | nose,nose
👣,clothing | footprint | footprints | print,footprints
👀,eye | eyes | face,eyes
👁,body | eye,eye
👁‍🗨,eye | eye in speech bubble | speech bubble | witness,eye in speech bubble
🧠,brain | intelligent,brain
👅,body | tongue,tongue
👄,lips | mouth,mouth
💋,kiss | kiss mark | lips,kiss mark
💘,arrow | cupid | heart with arrow,heart with arrow
❤,heart | red heart,red heart
💓,beating | beating heart | heartbeat | pulsating,beating heart
💔,break | broken | broken heart,broken heart
💕,love | two hearts,two hearts
💖,excited | sparkle | sparkling heart,sparkling heart
💗,excited | growing | growing heart | nervous | pulse,growing heart
💙,blue | blue heart,blue heart
💚,green | green heart,green heart
💛,yellow | yellow heart,yellow heart
🧡,orange | orange heart,orange heart
💜,purple | purple heart,purple heart
🖤,black | black heart | evil | wicked,black heart
💝,heart with ribbon | ribbon | valentine,heart with ribbon
💞,revolving | revolving hearts,revolving hearts
💟,heart | heart decoration,heart decoration
❣,exclamation | heavy heart exclamation | mark | punctuation,heavy heart exclamation
💌,heart | letter | love | mail,love letter
💤,comic | sleep | zzz,zzz
💢,anger symbol | angry | comic | mad,anger symbol
💣,bomb | comic,bomb
💥,boom | collision | comic,collision
💦,comic | splashing | sweat | sweat droplets,sweat droplets
💨,comic | dash | dashing away | running,dashing away
💫,comic | dizzy | star,dizzy
💬,balloon | bubble | comic | dialog | speech,speech balloon
🗨,dialog | left speech bubble | speech,left speech bubble
🗯,angry | balloon | bubble | mad | right anger bubble,right anger bubble
💭,balloon | bubble | comic | thought,thought balloon
🕳,hole,hole
👓,clothing | eye | eyeglasses | eyewear | glasses,glasses
🕶,dark | eye | eyewear | glasses | sunglasses,sunglasses
👔,clothing | necktie | tie,necktie
👕,clothing | shirt | t-shirt | tshirt,t-shirt
👖,clothing | jeans | pants | trousers,jeans
🧣,neck | scarf,scarf
🧤,gloves | hand,gloves
🧥,coat | jacket,coat
🧦,socks | stocking,socks
👗,clothing | dress,dress
👘,clothing | kimono,kimono
👙,bikini | clothing | swim,bikini
👚,clothing | woman | woman’s clothes,woman’s clothes
👛,clothing | coin | purse,purse
👜,bag | clothing | handbag | purse,handbag
👝,bag | clothing | clutch bag | pouch,clutch bag
🛍,bag | hotel | shopping | shopping bags,shopping bags
🎒,backpack | bag | rucksack | satchel | school,backpack
👞,clothing | man | man’s shoe | shoe,man’s shoe
👟,athletic | clothing | running shoe | shoe | sneaker,running shoe
👠,clothing | heel | high-heeled shoe | shoe | woman,high-heeled shoe
👡,clothing | sandal | shoe | woman | woman’s sandal,woman’s sandal
👢,boot | clothing | shoe | woman | woman’s boot,woman’s boot
👑,clothing | crown | king | queen,crown
👒,clothing | hat | woman | woman’s hat,woman’s hat
🎩,clothing | hat | top | tophat,top hat
🎓,cap | celebration | clothing | graduation | hat,graduation cap
🧢,baseball cap | billed cap,billed cap
⛑,aid | cross | face | hat | helmet | rescue worker’s helmet,rescue worker’s helmet
📿,beads | clothing | necklace | prayer | religion,prayer beads
💄,cosmetics | lipstick | makeup,lipstick
💍,diamond | ring,ring
💎,diamond | gem | gem stone | jewel,gem stone
🐵,face | monkey,monkey face
🐒,monkey,monkey
🦍,gorilla,gorilla
🐶,dog | face | pet,dog face
🐕,dog | pet,dog
🐩,dog | poodle,poodle
🐺,face | wolf,wolf face
🦊,face | fox,fox face
🐱,cat | face | pet,cat face
🐈,cat | pet,cat
🦁,face | Leo | lion | zodiac,lion face
🐯,face | tiger,tiger face
🐅,tiger,tiger
🐆,leopard,leopard
🐴,face | horse,horse face
🐎,equestrian | horse | racehorse | racing,horse
🦄,face | unicorn,unicorn face
🦓,stripe | zebra,zebra
🦌,deer,deer
🐮,cow | face,cow face
🐂,bull | ox | Taurus | zodiac,ox
🐃,buffalo | water,water buffalo
🐄,cow,cow
🐷,face | pig,pig face
🐖,pig | sow,pig
🐗,boar | pig,boar
🐽,face | nose | pig,pig nose
🐏,Aries | male | ram | sheep | zodiac,ram
🐑,ewe | female | sheep,ewe
🐐,Capricorn | goat | zodiac,goat
🐪,camel | dromedary | hump,camel
🐫,bactrian | camel | hump | two-hump camel,two-hump camel
🦒,giraffe | spots,giraffe
🐘,elephant,elephant
🦏,rhinoceros,rhinoceros
🐭,face | mouse,mouse face
🐁,mouse,mouse
🐀,rat,rat
🐹,face | hamster | pet,hamster face
🐰,bunny | face | pet | rabbit,rabbit face
🐇,bunny | pet | rabbit,rabbit
🐿,chipmunk | squirrel,chipmunk
🦔,hedgehog | spiny,hedgehog
🦇,bat | vampire,bat
🐻,bear | face,bear face
🐨,bear | koala,koala
🐼,face | panda,panda face
🐾,feet | paw | paw prints | print,paw prints
🦃,bird | turkey,turkey
🐔,bird | chicken,chicken
🐓,bird | rooster,rooster
🐣,baby | bird | chick | hatching,hatching chick
🐤,baby | bird | chick,baby chick
🐥,baby | bird | chick | front-facing baby chick,front-facing baby chick
🐦,bird,bird
🐧,bird | penguin,penguin
🕊,bird | dove | fly | peace,dove
🦅,bird | eagle,eagle
🦆,bird | duck,duck
🦉,bird | owl | wise,owl
🐸,face | frog,frog face
🐊,crocodile,crocodile
🐢,terrapin | tortoise | turtle,turtle
🦎,lizard | reptile,lizard
🐍,bearer | Ophiuchus | serpent | snake | zodiac,snake
🐲,dragon | face | fairy tale,dragon face
🐉,dragon | fairy tale,dragon
🦕,brachiosaurus | brontosaurus | diplodocus | sauropod,sauropod
🦖,T-Rex | Tyrannosaurus Rex,T-Rex
🐳,face | spouting | whale,spouting whale
🐋,whale,whale
🐬,dolphin | flipper,dolphin
🐟,fish | Pisces | zodiac,fish
🐠,fish | tropical,tropical fish
🐡,blowfish | fish,blowfish
🦈,fish | shark,shark
🐙,octopus,octopus
🐚,shell | spiral,spiral shell
🦀,Cancer | crab | zodiac,crab
🦐,food | shellfish | shrimp | small,shrimp
🦑,food | molusc | squid,squid
🐌,snail,snail
🦋,butterfly | insect | pretty,butterfly
🐛,bug | insect,bug
🐜,ant | insect,ant
🐝,bee | honeybee | insect,honeybee
🐞,beetle | insect | lady beetle | ladybird | ladybug,lady beetle
🦗,cricket | grasshopper,cricket
🕷,insect | spider,spider
🕸,spider | web,spider web
🦂,scorpio | Scorpio | scorpion | zodiac,scorpion
💐,bouquet | flower,bouquet
🌸,blossom | cherry | flower,cherry blossom
💮,flower | white flower,white flower
🏵,plant | rosette,rosette
🌹,flower | rose,rose
🥀,flower | wilted,wilted flower
🌺,flower | hibiscus,hibiscus
🌻,flower | sun | sunflower,sunflower
🌼,blossom | flower,blossom
🌷,flower | tulip,tulip
🌱,seedling | young,seedling
🌲,evergreen tree | tree,evergreen tree
🌳,deciduous | shedding | tree,deciduous tree
🌴,palm | tree,palm tree
🌵,cactus | plant,cactus
🌾,ear | grain | rice | sheaf of rice,sheaf of rice
🌿,herb | leaf,herb
☘,plant | shamrock,shamrock
🍀,4 | clover | four | four-leaf clover | leaf,four leaf clover
🍁,falling | leaf | maple,maple leaf
🍂,fallen leaf | falling | leaf,fallen leaf
🍃,blow | flutter | leaf | leaf fluttering in wind | wind,leaf fluttering in wind
🍇,fruit | grape | grapes,grapes
🍈,fruit | melon,melon
🍉,fruit | watermelon,watermelon
🍊,fruit | orange | tangerine,tangerine
🍋,citrus | fruit | lemon,lemon
🍌,banana | fruit,banana
🍍,fruit | pineapple,pineapple
🍎,apple | fruit | red,red apple
🍏,apple | fruit | green,green apple
🍐,fruit | pear,pear
🍑,fruit | peach,peach
🍒,berries | cherries | cherry | fruit | red,cherries
🍓,berry | fruit | strawberry,strawberry
🥝,food | fruit | kiwi,kiwi fruit
🍅,fruit | tomato | vegetable,tomato
🥥,coconut | palm | piña colada,coconut
🥑,avocado | food | fruit,avocado
🍆,aubergine | eggplant | vegetable,eggplant
🥔,food | potato | vegetable,potato
🥕,carrot | food | vegetable,carrot
🌽,corn | ear | ear of corn | maize | maze,ear of corn
🌶,hot | pepper,hot pepper
🥒,cucumber | food | pickle | vegetable,cucumber
🥦,broccoli | wild cabbage,broccoli
🍄,mushroom | toadstool,mushroom
🥜,food | nut | peanut | peanuts | vegetable,peanuts
🌰,chestnut | plant,chestnut
🍞,bread | loaf,bread
🥐,bread | crescent roll | croissant | food | french,croissant
🥖,baguette | bread | food | french,baguette bread
🥨,pretzel | twisted,pretzel
🥞,crêpe | food | hotcake | pancake | pancakes,pancakes
🧀,cheese | cheese wedge,cheese wedge
🍖,bone | meat | meat on bone,meat on bone
🍗,bone | chicken | drumstick | leg | poultry,poultry leg
🥩,chop | cut of meat | lambchop | porkchop | steak,cut of meat
🥓,bacon | food | meat,bacon
🍔,burger | hamburger,hamburger
🍟,french | fries,french fries
🍕,cheese | pizza | slice,pizza
🌭,frankfurter | hot dog | hotdog | sausage,hot dog
🥪,bread | sandwich,sandwich
🌮,mexican | taco,taco
🌯,burrito | mexican | wrap,burrito
🥙,falafel | flatbread | food | gyro | kebab | stuffed,stuffed flatbread
🥚,egg | food,egg
🍳,cooking | egg | frying | pan,cooking
🥘,casserole | food | paella | pan | shallow | shallow pan of food,shallow pan of food
🍲,pot | pot of food | stew,pot of food
🥣,bowl with spoon | breakfast | cereal | congee,bowl with spoon
🥗,food | green | salad,green salad
🍿,popcorn,popcorn
🥫,can | canned food,canned food
🍱,bento | box,bento box
